书名,别名,作者,作者国籍,出版社,出版时间,价格,评价,评价人数,是否可试读,链接
棋王·树王·孩子王,  阿城文集 之一 ,阿城 ,中, 江苏凤凰文艺出版社 , 2016-3-1 , 58.00,无热评,17105,不可试读,https://book.douban.com/subject/26734559/
國史大綱（上下）,无别名,錢穆 ,中, 商务印书馆 , 2013-8 , 76.00,钱穆中国通史,14337,不可试读,https://book.douban.com/subject/1046492/
毛泽东选集第一卷,无别名,毛泽东 ,中, 人民出版社 , 1991-5 , 40.00,无热评,18527,不可试读,https://book.douban.com/subject/1139360/
绿毛水怪,无别名,王小波 ,中, 时代文艺出版社 , 2009-1 , 30.00,我们好象在池塘的水底，从一个月亮走向另一个月亮,20657,不可试读,https://book.douban.com/subject/3518332/
经济学原理（上下）,无别名,曼昆梁小民,美, 机械工业出版社 , 2003-8 , 88.00,经济学家们的世界观,19746,不可试读,https://book.douban.com/subject/1028842/
苏菲的世界,Sofies verden,乔斯坦·贾德萧宝森,挪, 作家出版社 , 2007-10 , 26.00,哲学启蒙书,50309,可试读,https://book.douban.com/subject/2284311/
茶馆,无别名,老舍 ,中, 人民文学出版社 , 2002-1 , 9.80,清末、民初、抗战胜利以后三个历史时期的北京生活风貌,24188,不可试读,https://book.douban.com/subject/1036613/
人间草木,无别名,汪曾祺 ,中, 江苏文艺出版社 , 2005-01 , 20.00,我就是要这样香，香得痛痛快快,24607,不可试读,https://book.douban.com/subject/1253310/
绝叫,絕叫,叶真中显林佩瑾,日, 北京联合出版公司 , 2020-7 , 58.00,无热评,41725,可试读,https://book.douban.com/subject/35031587/
克莱因壶,クラインの壷,冈岛二人张舟,日, 化学工业出版社 , 2019-9 , 48.00,无热评,36942,可试读,https://book.douban.com/subject/33658616/
爱的艺术,无别名,艾·弗洛姆李健鸣,美, 上海译文出版社 , 2008-4 , 15.00,谦恭地、勇敢地、真诚地和有纪律地爱他人,40051,不可试读,https://book.douban.com/subject/3026879/
海的女儿,无别名,安徒生  叶君健 ,中, 上海译文出版社 , 1978年6月 , 0.43,无热评,18331,不可试读,https://book.douban.com/subject/1765512/
面纱,The Painted Veil,(英)W.萨默塞特·毛姆  阮景林 ,中, 重庆出版社 , 2012-05-01 , 32.00,揭去生活的面纱,62440,不可试读,https://book.douban.com/subject/10560798/
史蒂夫·乔布斯传,Steve Jobs A Biography,沃尔特·艾萨克森管延圻,美, 中信出版社 , 2011-10-24 , 68.00,完美主义者的最高形态,56028,可试读,https://book.douban.com/subject/6798611/
万水千山走遍,无别名,三毛 ,中, 哈尔滨出版社 , 2003-08 , 13.80,从遥远的撒哈拉到敦煌戈壁,41854,不可试读,https://book.douban.com/subject/1036490/
阿勒泰的角落,无别名,李娟 ,中, 万卷出版公司 , 2010-6 , 25.00,白雪和阳光，青草和白桦林,16770,不可试读,https://book.douban.com/subject/4881850/
德米安,  埃米尔·辛克莱的彷徨少年时 ,赫尔曼·黑塞丁君君,德, 上海人民出版社 , 2009-3 , 25.00,少年辛克莱寻找通向自身之路的艰辛历程,27240,不可试读,https://book.douban.com/subject/3578470/
温柔的夜,无别名,三毛 ,中, 北京十月文艺出版社 , 2007-5 , 28.00,三毛在加纳利群岛的生活,20612,不可试读,https://book.douban.com/subject/2068249/
不能承受的生命之轻,  中文全译本百万纪念版 ,米兰·昆德拉  许钧 ,中, 上海译文出版社 , 2010-8 , 29.00,无热评,40206,不可试读,https://book.douban.com/subject/4920007/
我的天才女友,  那不勒斯四部曲1 ,埃莱娜·费兰特陈英,意, 人民文学出版社 , 2017-1 , 42.00,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争,86787,可试读,https://book.douban.com/subject/26878124/
也许你该找个人聊聊,Maybe You Should Talk to Someone,洛莉·戈特利布张含笑果麦文化,美,上海文化出版社 , 2021-7-28 , 68.00,无热评,20132,可试读,https://book.douban.com/subject/35481512/
我也有一个梦想,  近距离看美国之三 ,林达 ,中, 生活·读书·新知三联书店 , 2004-08 , 25.00,在法治国家里，民众怎样运用法律,14765,可试读,https://book.douban.com/subject/1014825/
霸王别姬,无别名,李碧华 ,中, 人民文学出版社 , 1999-1 , 10.20,人间，只是抹去了脂粉的脸,19148,不可试读,https://book.douban.com/subject/1088711/
古文观止,无别名,吴楚材 ,中, 中华书局 , 1987-1-1 , 21.00,收录自先秦至明末的散文二百二十二篇,17137,不可试读,https://book.douban.com/subject/1014561/
亮剑,无别名,都梁 ,中, 解放军文艺出版社 , 2005-3 , 28.00,面对强大的对手，明知不敌，也要毅然亮剑,26365,可试读,https://book.douban.com/subject/1088022/
我不知道该说什么，关于死亡还是爱情,  来自切尔诺贝利的声音 ,S·A·阿列克谢耶维奇方祖芳,白俄, 花城出版社 , 2014-6-15 , 34.80,真实记录切尔诺贝利核灾难事件,17681,不可试读,https://book.douban.com/subject/25884880/
球状闪电,无别名,刘慈欣 ,中, 四川科学技术出版社 , 2005-6 , 22.00,量子之外，没有真相,71195,不可试读,https://book.douban.com/subject/1192090/
倾城之恋,无别名,张爱玲 ,中, 北京十月文艺出版社 , 2006-12 , 29.80,“一对平凡的夫妻”之间的“一点真心”,46935,不可试读,https://book.douban.com/subject/1985223/
我的阿勒泰,My Altay,李娟 ,中, 云南人民出版社 , 2010-7 , 22.00,描写疆北阿勒泰地区生活和风情的原生态散文集,23684,不可试读,https://book.douban.com/subject/4884218/
